sample_id,source_kind,document_type,scenario,old_text,new_text,diff_text,change_type,extracted_entities,importance_label
S0010,synthetic,административный регламент,required_documents_changed,Для получения услуги заявитель представляет паспорт гражданина Российской Федерации.,"Для получения услуги заявитель представляет паспорт гражданина Российской Федерации, СНИЛС.","OLD: Для получения услуги заявитель представляет паспорт гражданина Российской Федерации.
NEW: Для получения услуги заявитель представляет паспорт гражданина Российской Федерации, СНИЛС.",document,"[{""type"": ""required_documents_old"", ""value"": ""паспорт гражданина Российской Федерации""}, {""type"": ""required_documents_new"", ""value"": ""паспорт гражданина Российской Федерации, СНИЛС""}]",critical
S0004,synthetic,регламент,deadline_changed,Срок рассмотрения заявления составляет 5 рабочих дней.,Срок рассмотрения заявления составляет 10 рабочих дней.,"OLD: Срок рассмотрения заявления составляет 5 рабочих дней.
NEW: Срок рассмотрения заявления составляет 10 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""рассмотрения заявления""}, {""type"": ""deadline_old"", ""value"": ""5 рабочих дней""}, {""type"": ""deadline_new"", ""value"": ""10 рабочих дней""}]",critical
S0011,synthetic,административный регламент,required_documents_changed,Для получения услуги заявитель представляет заявление и паспорт.,"Для получения услуги заявитель представляет заявление, паспорт и документ, подтверждающий регистрацию.","OLD: Для получения услуги заявитель представляет заявление и паспорт.
NEW: Для получения услуги заявитель представляет заявление, паспорт и документ, подтверждающий регистрацию.",document,"[{""type"": ""required_documents_old"", ""value"": ""заявление и паспорт""}, {""type"": ""required_documents_new"", ""value"": ""заявление, паспорт и документ, подтверждающий регистрацию""}]",critical
S0034,synthetic,регламент,editorial_change,Заявитель предоставляет документы лично.,Заявитель предоставляет документы лично.,"OLD: Заявитель предоставляет документы лично.
NEW: Заявитель предоставляет документы лично.",editorial,"[{""type"": ""editorial_change"", ""value"": ""true""}]",editorial
S0040,synthetic,регламент,editorial_change,Информация размещается на сайте учреждения.,Информация размещается на сайте организации.,"OLD: Информация размещается на сайте учреждения.
NEW: Информация размещается на сайте организации.",editorial,"[{""type"": ""editorial_change"", ""value"": ""true""}]",editorial
S0019,synthetic,локальный акт,responsibility_changed,Сотрудник несёт ответственность в соответствии с законодательством.,Сотрудник несёт дисциплинарную и материальную ответственность в соответствии с законодательством.,"OLD: Сотрудник несёт ответственность в соответствии с законодательством.
NEW: Сотрудник несёт дисциплинарную и материальную ответственность в соответствии с законодательством.",responsibility,"[{""type"": ""responsibility_change"", ""value"": ""true""}]",critical
S0032,synthetic,памятка,informational_addition,Информация о ходе рассмотрения заявления предоставляется заявителю.,"Информация о ходе рассмотрения заявления предоставляется заявителю, в том числе посредством справочного номера.","OLD: Информация о ходе рассмотрения заявления предоставляется заявителю.
NEW: Информация о ходе рассмотрения заявления предоставляется заявителю, в том числе посредством справочного номера.",informational,"[{""type"": ""info_change"", ""value"": ""true""}]",informational
S0027,synthetic,регламент,condition_changed,Результат выдается по месту подачи заявления.,Результат выдается по месту подачи заявления либо в выбранном МФЦ.,"OLD: Результат выдается по месту подачи заявления.
NEW: Результат выдается по месту подачи заявления либо в выбранном МФЦ.",condition,"[{""type"": ""condition_change"", ""value"": ""true""}]",important
S0005,synthetic,регламент,deadline_changed,Срок рассмотрения заявления составляет 3 рабочих дня.,Срок рассмотрения заявления составляет 7 рабочих дней.,"OLD: Срок рассмотрения заявления составляет 3 рабочих дня.
NEW: Срок рассмотрения заявления составляет 7 рабочих дней.",deadline,"[{""type"": ""service"", ""value"": ""рассмотрения заявления""}, {""type"": ""deadline_old"", ""value"": ""3 рабочих дня""}, {""type"": ""deadline_new"", ""value"": ""7 рабочих дней""}]",critical
S0036,synthetic,регламент,editorial_change,Документ подписывается уполномоченным лицом.,Документ подписывается уполномоченным лицом;,"OLD: Документ подписывается уполномоченным лицом.
NEW: Документ подписывается уполномоченным лицом;",editorial,"[{""type"": ""editorial_change"", ""value"": ""true""}]",editorial
