example_id,source,source_file,pair_id,change_id,old_text,new_text,combined_text,operation_type,semantic_type,significance_label,high_priority_label,is_gold,is_synthetic,is_weak,label_source,confidence,notes,old_length,new_length,length_delta,relative_length_delta,has_number,has_date,has_deadline_terms,has_obligation_terms,has_refusal_terms,has_document_terms,has_responsibility_terms,has_procedure_terms,has_payment_terms,has_editorial_terms,has_legal_reference,has_modal_verbs,text_complexity_bucket,y_significance,y_high_priority,y_semantic_type,rule_based_label,rule_based_confidence,rule_based_reason,rule_based_requires_manual_review
weak:ruslawod_pair_0002:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0002,chg_1,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре... РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,modified,obligation,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",160,160,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,long,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation.",0
weak:ruslawod_pair_0003:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0003,chg_1,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре... РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,modified,obligation,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",160,160,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,long,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation.",0
weak:ruslawod_pair_0004:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0004,chg_1,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре... РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,modified,obligation,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",160,160,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,long,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation.",0
weak:ruslawod_pair_0005:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0005,chg_1,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре... РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,modified,obligation,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",160,160,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,long,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation.",0
weak:ruslawod_pair_0006:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0006,chg_1,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре... РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,modified,obligation,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",160,160,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,long,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation.",0
weak:ruslawod_pair_0007:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0007,chg_1,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре... РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,modified,obligation,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",160,160,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,long,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation.",0
weak:ruslawod_pair_0008:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0008,chg_1,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 5 февраля 2022 г. № 121 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 7 февраля 2025 г. № 121 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 5 февраля 2022 г. № 121 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П... ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 7 февраля 2025 г. № 121 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,modified,deadline,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_new, critical_keywords.",160,160,0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,long,critical,1,deadline,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline.",0
weak:ruslawod_pair_0009:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0009,chg_1,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 22 ноября 2016 г. № 1223 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 20 июля 2021 г. № 1223 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации В...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 22 ноября 2016 г. № 1223 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации... ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 20 июля 2021 г. № 1223 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации В...,modified,obligation,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",159,159,0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,long,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation.",0
weak:ruslawod_pair_0010:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0010,chg_1,<table><col><col><tbody><tr><td> </td><td></tr></tbody></table> ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 23 сентября 2024 г. № 1285 МОСКВА О внесе...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 27 августа 2025 г. № 1285 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,<table><col><col><tbody><tr><td> </td><td></tr></tbody></table> ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 23 сентября 2024 г. № 1285 МОСКВА О внесе... ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 27 августа 2025 г. № 1285 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,modified,obligation,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",160,160,0,0.0,1,1,0,0,0,0,0,0,0,0,1,0,long,critical,1,obligation,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation.",0
weak:ruslawod_pair_0011:1,real_world_weak_trace,experiments/real_world/real_world_trace.csv,ruslawod_pair_0011,chg_1,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 14 декабря 2018 г. № 1523 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 2 октября 2025 г. № 1523 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 14 декабря 2018 г. № 1523 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации... ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 2 октября 2025 г. № 1523 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,modified,deadline,critical,1,0,0,1,real_world_weak_trace,0.4,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, critical_keywords.",160,159,1,0.0063,1,1,0,0,0,0,0,0,0,0,1,0,long,critical,1,deadline,critical,1.0,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline.",0
