pair_id,change_index,operation_type,semantic_type,significance_label,requires_manual_review,old_preview,new_preview,explanation,warning
ruslawod_pair_0002,1,modified,obligation,critical,False,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0003,1,modified,obligation,critical,False,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0004,1,modified,obligation,critical,False,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0005,1,modified,obligation,critical,False,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0006,1,modified,obligation,critical,False,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0007,1,modified,obligation,critical,False,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,РОССИЙСКАЯ ФЕДЕРАЦИЯ ПОСЛАНИЕ ПРЕЗИДЕНТА РОССИЙСКОЙ ФЕДЕРАЦИИ ФЕДЕРАЛЬНОМУ СОБРАНИЮ РОССИЙСКОЙ ФЕДЕРАЦИИ (О положении в стране и основных направлениях внутре...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0008,1,modified,deadline,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 5 февраля 2022 г. № 121 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 7 февраля 2025 г. № 121 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_new, critical_keywords.",
ruslawod_pair_0009,1,modified,obligation,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 22 ноября 2016 г. № 1223 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 20 июля 2021 г. № 1223 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации В...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0010,1,modified,obligation,critical,False,<table><col><col><tbody><tr><td> </td><td></tr></tbody></table> ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 23 сентября 2024 г. № 1285 МОСКВА О внесе...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 27 августа 2025 г. № 1285 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0011,1,modified,deadline,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 14 декабря 2018 г. № 1523 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 2 октября 2025 г. № 1523 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, critical_keywords.",
ruslawod_pair_0012,1,modified,document,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 25 декабря 2018 г. № 1662 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 21 сентября 2022 г. № 1662 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федераци...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document, critical_keywords.",
ruslawod_pair_0013,1,modified,obligation,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 11 марта 2016 г. № 183 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пр...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 14 февраля 2017 г. № 183 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0014,1,modified,deadline,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 6 марта 2020 г. № 238 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пра...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 29 февраля 2024 г. № 238 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_new, critical_keywords.",
ruslawod_pair_0015,1,modified,procedure,important,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 14 апреля 2017 г. № 446 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 24 марта 2022 г. № 446 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пр...,"Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: change_type=procedure, entities=procedure_change.",
ruslawod_pair_0016,1,modified,deadline,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 4 мая 2017 г. № 522 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Прави...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 18 апреля 2025 г. № 522 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_new, critical_keywords.",
ruslawod_pair_0017,1,modified,document,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 29 мая 2015 г. № 525 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Прав...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 23 апреля 2024 г. № 525 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document.",
ruslawod_pair_0018,1,modified,document,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 30 апреля 2020 г. № 612 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 8 мая 2025 г. № 612 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Прави...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document, critical_keywords.",
ruslawod_pair_0019,1,modified,procedure,important,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 28 июля 2011 г. № 631 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пра...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 25 мая 2017 г. № 631 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Прав...,"Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: change_type=procedure, entities=procedure_change, important_keywords.",
ruslawod_pair_0020,1,modified,editorial,editorial,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 6 августа 2013 г. № 675 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 28 апреля 2023 г. № 675 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации П...,"Изменение похоже на редакционное или структурное и не меняет смысл по существу. Сработали правила: change_type=editorial, entities=editorial_change.",
ruslawod_pair_0021,1,modified,document,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 29 октября 2007 г. N 715 г. Москва О внесении изменений в некоторые акты Правительства Российской Федерац...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 23 июля 2016 г. № 715 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пра...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document, critical_keywords.",
ruslawod_pair_0022,1,modified,document,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 23 июля 2016 г. № 715 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пра...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 6 мая 2023 г. № 715 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Прави...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document, critical_keywords.",
ruslawod_pair_0023,1,modified,obligation,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 5 февраля 2016 г. № 76 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пр...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 31 января 2024 г. № 76 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пр...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords.",
ruslawod_pair_0024,1,modified,deadline,critical,False,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 9 сентября 2015 г. № 948 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации...,ПРАВИТЕЛЬСТВО РОССИЙСКОЙ ФЕДЕРАЦИИ ПОСТАНОВЛЕНИЕ от 24 июня 2025 г. № 948 МОСКВА О внесении изменений в некоторые акты Правительства Российской Федерации Пра...,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_old, critical_keywords.",
