pair_id,question_id,question_text,options,correct_answer,expected_topics,matched_topic,change_relevance,domain_correctness,unambiguous_answer,distractor_quality,no_editorial_noise,explanation_source_quality,employee_usefulness,overall_score,has_source,is_correct,is_relevant,is_editorial_noise,notes,explanation,source,semantic_type,significance_label,error_origin
pair_01_deadline_change,pair_01_deadline_change_q01,Какое изменение по срокам должен учитывать сотрудник в разделе «Статья 2: Сроки рассмотрения · Пункт 1»?,"[""Срок сокращён: было 10 рабочих дней, стало 7 рабочих дней."", ""Сроки выполнения требований не изменились."", ""Изменение касается только перечня документов, а не сроков.""]","Срок сокращён: было 10 рабочих дней, стало 7 рабочих дней.","[""новый срок рассмотрения заявления""]",новый срок рассмотрения заявления,5,5,5,4,5,5,5,4.8571,True,True,True,False,Directly checks the changed deadline and preserves old/new values.,"Проверяет понимание изменения: Срок сокращён: было 10 рабочих дней, стало 7 рабочих дней. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_new,deadline_old, critical_keywords.","{""title"": ""Статья 2: Сроки рассмотрения · Пункт 1"", ""semantic_type"": ""deadline"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 1, ""source_highlight_index"": 0, ""old_text"": ""Срок рассмотрения заявления составляет 10 рабочих дней со дня его регистрации."", ""new_text"": ""Срок рассмотрения заявления составляет 7 рабочих дней со дня его регистрации."", ""similarity"": 0.9806, ""match_reason"": ""path_key""}",deadline,critical,none
pair_02_added_obligation,pair_02_added_obligation_q01,Какое изменение в обязанностях отражено в разделе «Статья 2: Подготовка результата · Пункт 3»?,"[""Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений."", ""Обязанности сотрудников и заявителей не изменились."", ""Изменение касается только справочной информации.""]",Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений.,"[""новая обязанность сотрудника по уведомлению заявителя""]",новая обязанность сотрудника по уведомлению заявителя,5,5,5,4,5,5,5,4.8571,True,True,True,False,Directly checks the added notification obligation.,"Проверяет понимание изменения: Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action.","{""title"": ""Статья 2: Подготовка результата · Пункт 3"", ""semantic_type"": ""obligation"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 1, ""source_highlight_index"": 0, ""new_text"": ""Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений.""}",obligation,critical,none
pair_03_document_list_change,pair_03_document_list_change_q01,Какое изменение в перечне документов нужно учитывать в разделе «Статья 2: Обязательные документы · Пункт 1 · Подпункт г»?,"[""Добавлен новый пункт о документах: копию документа, подтверждающего полномочия представителя, если заявление подает представитель."", ""Перечень документов остался прежним."", ""Изменение касается только сроков предоставления услуги.""]","Добавлен новый пункт о документах: копию документа, подтверждающего полномочия представителя, если заявление подает представитель.","[""новый документ в перечне обязательных документов""]",новый документ в перечне обязательных документов,5,5,5,4,5,5,5,4.8571,True,True,True,False,Checks the added representative-authority document.,"Проверяет понимание изменения: Добавлен новый пункт о документах: копию документа, подтверждающего полномочия представителя, если заявление подает представитель. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document.","{""title"": ""Статья 2: Обязательные документы · Пункт 1 · Подпункт г"", ""semantic_type"": ""document"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 2, ""source_highlight_index"": 0, ""new_text"": ""копию документа, подтверждающего полномочия представителя, если заявление подает представитель.""}",document,critical,none
pair_04_refusal_ground_change,pair_04_refusal_ground_change_q01,Какое изменение в основаниях отказа отражено в разделе «Статья 3: Основания для отказа · Пункт 3»?,"[""Добавлено новое основание для отказа: Основанием для отказа является непредставление обязательных документов в установленный срок."", ""Основания для отказа остались без изменений."", ""Изменение касается только сроков оказания услуги.""]",Добавлено новое основание для отказа: Основанием для отказа является непредставление обязательных документов в установленный срок.,"[""новое основание отказа""]",новое основание отказа,5,5,5,4,5,5,5,4.8571,True,True,True,False,Checks the new refusal ground without changing its legal condition.,"Проверяет понимание изменения: Добавлено новое основание для отказа: Основанием для отказа является непредставление обязательных документов в установленный срок. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=refusal, entities=refusal_change.","{""title"": ""Статья 3: Основания для отказа · Пункт 3"", ""semantic_type"": ""refusal"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 1, ""source_highlight_index"": 0, ""new_text"": ""Основанием для отказа является непредставление обязательных документов в установленный срок.""}",refusal,critical,none
pair_05_editorial_change,pair_05_editorial_change_q01,Какое изменение в перечне документов нужно учитывать в разделе «Статья 2: Первичная проверка · Пункт 1»?,"[""Изменены требования к перечню документов."", ""Перечень документов остался прежним."", ""Изменение касается только сроков предоставления услуги.""]",Изменены требования к перечню документов.,[],,1,1,2,3,1,2,1,1.5714,True,False,False,True,Weak case: an editorial verb replacement is over-prioritized upstream and becomes a false document-list question.,"Проверяет понимание изменения: Изменены требования к перечню документов. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document.","{""title"": ""Статья 2: Первичная проверка · Пункт 1"", ""semantic_type"": ""document"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 1, ""source_highlight_index"": 0, ""old_text"": ""Сотрудник осуществляет проверку документов на предмет комплектности."", ""new_text"": ""Сотрудник выполняет проверку документов на предмет комплектности."", ""similarity"": 0.9173, ""match_reason"": ""path_key""}",document,critical,upstream_significance
pair_06_procedure_change,pair_06_procedure_change_q01,Какое изменение в перечне документов нужно учитывать в разделе «Статья 2: Способы подачи · Пункт 1»?,"[""Изменены требования к перечню документов."", ""Перечень документов остался прежним."", ""Изменение касается только сроков предоставления услуги.""]",Изменены требования к перечню документов.,"[""новый способ подачи заявления""]",,3,2,2,3,5,3,2,2.8571,True,False,False,False,"The source is the real procedure change, but the generated question frames it as a document-list change and misses the electronic-form topic.","Проверяет понимание изменения: Изменены требования к перечню документов. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=document.","{""title"": ""Статья 2: Способы подачи · Пункт 1"", ""semantic_type"": ""document"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 1, ""source_highlight_index"": 0, ""old_text"": ""Заявление подается заявителем на бумажном носителе через ответственное подразделение."", ""new_text"": ""Заявление может быть подано на бумажном носителе через ответственное подразделение или через электронную форму во внутреннем портале."", ""similarity"": 0.6422, ""match_reason"": ""path_key""}",document,critical,upstream_semantic_classification
pair_07_responsibility_change,pair_07_responsibility_change_q01,Какое изменение по срокам должен учитывать сотрудник в разделе «Статья 3: Действия при нарушении срока · Пункт 2»?,"[""Добавлено новое требование по сроку: За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразде…."", ""Сроки выполнения требований не изменились."", ""Изменение касается только перечня документов, а не сроков.""]",Добавлено новое требование по сроку: За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразде….,"[""ответственность за нарушение срока""]",ответственность за нарушение срока,4,3,4,3,5,4,4,3.8571,True,True,True,False,"The answer preserves the responsibility rule, but the prompt frames it as a deadline question because of upstream semantic labeling.","Проверяет понимание изменения: Добавлено новое требование по сроку: За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразде…. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline.","{""title"": ""Статья 3: Действия при нарушении срока · Пункт 2"", ""semantic_type"": ""deadline"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 1, ""source_highlight_index"": 0, ""new_text"": ""За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразделения.""}",deadline,critical,upstream_semantic_classification
pair_09_mixed_significant_and_editorial,pair_09_mixed_significant_and_editorial_q01,Какое изменение по срокам должен учитывать сотрудник в разделе «Статья 2: Срок и проверка · Пункт 1»?,"[""Срок сокращён: было 5 рабочих дней, стало 4 рабочих дня."", ""Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о невозможности подготовки справки при отсутствии обязательных сведений."", ""Добавлен новый процедурный шаг: Справочная информация о статусе запроса доступна в локальной системе учета.""]","Срок сокращён: было 5 рабочих дней, стало 4 рабочих дня.","[""новый срок подготовки справки"", ""уведомление при невозможности подготовки справки""]",новый срок подготовки справки,5,5,5,3,5,5,5,4.7143,True,True,True,False,Good deadline question in a mixed-change pair.,"Проверяет понимание изменения: Срок сокращён: было 5 рабочих дней, стало 4 рабочих дня. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_new,deadline_old, critical_keywords.","{""title"": ""Статья 2: Срок и проверка · Пункт 1"", ""semantic_type"": ""deadline"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 1, ""source_highlight_index"": 0, ""old_text"": ""Срок подготовки справки составляет 5 рабочих дней со дня регистрации запроса."", ""new_text"": ""Срок подготовки справки составляет 4 рабочих дня со дня регистрации запроса."", ""similarity"": 0.9673, ""match_reason"": ""path_key""}",deadline,critical,none
pair_09_mixed_significant_and_editorial,pair_09_mixed_significant_and_editorial_q02,Какое изменение в обязанностях отражено в разделе «Статья 2: Срок и проверка · Пункт 4»?,"[""Срок сокращён: было 5 рабочих дней, стало 4 рабочих дня."", ""Добавлен новый процедурный шаг: Справочная информация о статусе запроса доступна в локальной системе учета."", ""Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о невозможности подготовки справки при отсутствии обязательных сведений.""]",Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о невозможности подготовки справки при отсутствии обязательных сведений.,"[""новый срок подготовки справки"", ""уведомление при невозможности подготовки справки""]",уведомление при невозможности подготовки справки,5,5,5,3,5,5,5,4.7143,True,True,True,False,Good obligation question in a mixed-change pair.,"Проверяет понимание изменения: Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о невозможности подготовки справки при отсутствии обязательных сведений. Причина значимости: Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action.","{""title"": ""Статья 2: Срок и проверка · Пункт 4"", ""semantic_type"": ""obligation"", ""significance_label"": ""critical"", ""source_change_item_id"": null, ""source_sort_order"": 3, ""source_highlight_index"": 1, ""new_text"": ""Сотрудник обязан уведомить заявителя о невозможности подготовки справки при отсутствии обязательных сведений.""}",obligation,critical,none
pair_09_mixed_significant_and_editorial,pair_09_mixed_significant_and_editorial_q03,Как изменился порядок действий в разделе «Статья 3: Информирование · Пункт 3»?,"[""Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о невозможности подготовки справки при отсутствии обязательных сведений."", ""Добавлен новый процедурный шаг: Справочная информация о статусе запроса доступна в локальной системе учета."", ""Срок сокращён: было 5 рабочих дней, стало 4 рабочих дня.""]",Добавлен новый процедурный шаг: Справочная информация о статусе запроса доступна в локальной системе учета.,"[""новый срок подготовки справки"", ""уведомление при невозможности подготовки справки""]",,3,3,4,2,2,4,2,2.8571,True,False,False,True,Informational status notice is turned into a procedure question; this is traceable but weak as an employee knowledge-control item.,"Проверяет понимание изменения: Добавлен новый процедурный шаг: Справочная информация о статусе запроса доступна в локальной системе учета. Причина значимости: Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: change_type=procedure, entities=procedure_change.","{""title"": ""Статья 3: Информирование · Пункт 3"", ""semantic_type"": ""procedure"", ""significance_label"": ""important"", ""source_change_item_id"": null, ""source_sort_order"": 4, ""source_highlight_index"": 2, ""new_text"": ""Справочная информация о статусе запроса доступна в локальной системе учета.""}",procedure,important,upstream_significance
