pair_id,summary_text,expected_topics,covered_topics,missed_topics,unsupported_claims,unsupported_claim_details,editorial_overemphasis,editorial_overemphasis_details,completeness,accuracy,no_hallucinations,clarity,usefulness,source_alignment,average_score,notes,brief_text,overview_title,selection_scope,highlights_count,highlight_labels,highlight_semantic_types,oracle_summary_text,oracle_covered_topics,oracle_missed_topics,oracle_average_score
pair_01_deadline_change,"Ключевые значимые изменения
Ключевое изменение: Срок сокращён: было 10 рабочих дней, стало 7 рабочих дней. Изменено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.
Highlights:
1. [critical/deadline] Срок сокращён: было 10 рабочих дней, стало 7 рабочих дней.","[""срок рассмотрения заявления сокращен с 10 до 7 рабочих дней""]","[""срок рассмотрения заявления сокращен с 10 до 7 рабочих дней""]",[],0,[],0,[],5,5,5,5,5,5,5,Covers the deadline reduction and preserves old/new values.,"Ключевое изменение: Срок сокращён: было 10 рабочих дней, стало 7 рабочих дней. Изменено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.",Ключевые значимые изменения,significant,1,"[""critical""]","[""deadline""]","Ключевые значимые изменения
Ключевое изменение: Срок сокращён: было 10 рабочих дней, стало 7 рабочих дней. Изменено фрагментов: 1. Критичных изменений: 1.
Highlights:
1. [critical/deadline] Срок сокращён: было 10 рабочих дней, стало 7 рабочих дней.","[""срок рассмотрения заявления сокращен с 10 до 7 рабочих дней""]",[],5
pair_02_added_obligation,"Ключевые значимые изменения
Ключевое изменение: Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений. Добавлено фрагментов: 1. Без изменений: 10. Критичных изменений: 1.
Highlights:
1. [critical/obligation] Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений.","[""добавлена обязанность уведомить заявителя о результате рассмотрения обращения""]","[""добавлена обязанность уведомить заявителя о результате рассмотрения обращения""]",[],0,[],0,[],5,5,5,5,5,5,5,Covers the added notification obligation clearly and source-backed.,Ключевое изменение: Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений. Добавлено фрагментов: 1. Без изменений: 10. Критичных изменений: 1.,Ключевые значимые изменения,significant,1,"[""critical""]","[""obligation""]","Ключевые значимые изменения
Ключевое изменение: Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений. Добавлено фрагментов: 1. Критичных изменений: 1.
Highlights:
1. [critical/obligation] Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений.","[""добавлена обязанность уведомить заявителя о результате рассмотрения обращения""]",[],5
pair_03_document_list_change,"Ключевые значимые изменения
Ключевое изменение: Добавлен новый пункт о документах: копию документа, подтверждающего полномочия представителя, если заявление подает представитель. Добавлено фрагментов: 1. Изменено фрагментов: 1. Без изменений: 11. Критичных изменений: 1. Редакционных/технических изменений: 1.
Highlights:
1. [critical/document] Добавлен новый пункт о документах: копию документа, подтверждающего полномочия представителя, если заявление подает представитель.","[""добавлена копия документа, подтверждающего полномочия представителя""]","[""добавлена копия документа, подтверждающего полномочия представителя""]",[],0,[],1,"[""Summary statistics mention one editorial/technical change produced by upstream comparison.""]",5,5,4,5,4,4,4.5,Key document-list topic is covered; brief statistics also expose one upstream editorial/technical diff item.,"Ключевое изменение: Добавлен новый пункт о документах: копию документа, подтверждающего полномочия представителя, если заявление подает представитель. Добавлено фрагментов: 1. Изменено фрагментов: 1. Без изменений: 11. Критичных изменений: 1. Редакционных/технических изменений: 1.",Ключевые значимые изменения,significant,1,"[""critical""]","[""document""]","Ключевые значимые изменения
Ключевое изменение: Добавлен новый пункт о документах: г) копию документа, подтверждающего полномочия представителя, если заявление подает представитель. Добавлено фрагментов: 1. Критичных изменений: 1.
Highlights:
1. [critical/document] Добавлен новый пункт о документах: г) копию документа, подтверждающего полномочия представителя, если заявление подает представитель.","[""добавлена копия документа, подтверждающего полномочия представителя""]",[],5
pair_04_refusal_ground_change,"Ключевые значимые изменения
Ключевое изменение: Добавлено новое основание для отказа: Основанием для отказа является непредставление обязательных документов в установленный срок. Добавлено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.
Highlights:
1. [critical/refusal] Добавлено новое основание для отказа: Основанием для отказа является непредставление обязательных документов в установленный срок.","[""добавлено новое основание отказа при непредставлении обязательных документов в установленный срок""]","[""добавлено новое основание отказа при непредставлении обязательных документов в установленный срок""]",[],0,[],0,[],5,5,5,5,5,5,5,Covers the new refusal ground and keeps the source condition intact.,Ключевое изменение: Добавлено новое основание для отказа: Основанием для отказа является непредставление обязательных документов в установленный срок. Добавлено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.,Ключевые значимые изменения,significant,1,"[""critical""]","[""refusal""]","Ключевые значимые изменения
Ключевое изменение: Добавлено новое основание для отказа: Основанием для отказа является непредставление обязательных документов в установленный срок. Добавлено фрагментов: 1. Критичных изменений: 1.
Highlights:
1. [critical/refusal] Добавлено новое основание для отказа: Основанием для отказа является непредставление обязательных документов в установленный срок.","[""добавлено новое основание отказа при непредставлении обязательных документов в установленный срок""]",[],5
pair_05_editorial_change,"Ключевые значимые изменения
Ключевое изменение: Изменены требования к перечню документов. Изменено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.
Highlights:
1. [critical/document] Изменены требования к перечню документов.",[],[],[],1,"[""Editorial-only wording change is presented as a critical document-list requirement change.""]",1,"[""Editorial wording change is over-prioritized as critical.""]",2,2,2,3,1,2,2,Weak editorial-control case: upstream semantic/significance classification turns a wording change into a critical highlight.,Ключевое изменение: Изменены требования к перечню документов. Изменено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.,Ключевые значимые изменения,significant,1,"[""critical""]","[""document""]","Редакционные изменения
Выявлены только редакционные или технические правки; значимых смысловых изменений не обнаружено. Изменено фрагментов: 1. Редакционных/технических изменений: 1.
Highlights:
1. [editorial/editorial] Редакционная или техническая правка: Сотрудник выполняет проверку документов на предмет комплектности.",[],[],4.8333
pair_06_procedure_change,"Ключевые значимые изменения
Ключевое изменение: Изменены требования к перечню документов. Изменено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.
Highlights:
1. [critical/document] Изменены требования к перечню документов.","[""добавлена возможность подачи заявления через электронную форму во внутреннем портале""]",[],"[""добавлена возможность подачи заявления через электронную форму во внутреннем портале""]",1,"[""Procedure change is summarized as a document-list requirement change.""]",0,[],1,2,3,3,2,2,2.1667,Expected electronic-form submission topic is missed because upstream enrichment misclassifies the changed chunk.,Ключевое изменение: Изменены требования к перечню документов. Изменено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.,Ключевые значимые изменения,significant,1,"[""critical""]","[""document""]","Краткая выжимка изменений
Ключевое изменение: Изменён порядок процедуры: Заявление может быть подано на бумажном носителе через ответственное подразделение или через электронную форму во внутр…. Изменено фрагментов: 1. Важных изменений: 1.
Highlights:
1. [important/procedure] Изменён порядок процедуры: Заявление может быть подано на бумажном носителе через ответственное подразделение или через электронную форму во внутр….",[],"[""добавлена возможность подачи заявления через электронную форму во внутреннем портале""]",4.3333
pair_07_responsibility_change,"Ключевые значимые изменения
Ключевое изменение: Добавлено новое требование по сроку: За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразде…. Добавлено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.
Highlights:
1. [critical/deadline] Добавлено новое требование по сроку: За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразде….","[""добавлена ответственность сотрудника за нарушение срока обработки заявления""]","[""добавлена ответственность сотрудника за нарушение срока обработки заявления""]",[],1,"[""Responsibility change is framed as a deadline requirement, although the source text still states responsibility.""]",0,[],5,4,4,4,4,4,4.1667,"Responsibility topic is visible in the source-backed snippet, but the semantic label frames it as a deadline requirement.",Ключевое изменение: Добавлено новое требование по сроку: За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразде…. Добавлено фрагментов: 1. Без изменений: 9. Критичных изменений: 1.,Ключевые значимые изменения,significant,1,"[""critical""]","[""deadline""]","Ключевые значимые изменения
Ключевое изменение: Добавлено новое положение об ответственности: За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразде…. Добавлено фрагментов: 1. Критичных изменений: 1.
Highlights:
1. [critical/responsibility] Добавлено новое положение об ответственности: За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразде….","[""добавлена ответственность сотрудника за нарушение срока обработки заявления""]",[],5
pair_08_reordered_structure,"Изменения не обнаружены
Изменений между выбранными версиями не обнаружено. Без изменений: 10.",[],[],[],0,[],0,[],5,5,5,5,5,5,5,Correctly avoids inventing a substantive change for pure reordering in the current MVP pipeline.,Изменений между выбранными версиями не обнаружено. Без изменений: 10.,Изменения не обнаружены,empty,0,[],[],"Редакционные изменения
Выявлены только редакционные или технические правки; значимых смысловых изменений не обнаружено. Перемещено фрагментов: 1. Редакционных/технических изменений: 1.
Highlights:
1. [editorial/structure] Фрагмент перемещён в другую позицию документа без явного смыслового изменения.",[],[],4.8333
pair_09_mixed_significant_and_editorial,"Ключевые значимые изменения
Выявлено 4 значимых изменений. Основные темы: сроки и обязанности. Добавлено фрагментов: 2. Изменено фрагментов: 2. Без изменений: 8. Критичных изменений: 3. Важных изменений: 1.
Highlights:
1. [critical/deadline] Срок сокращён: было 5 рабочих дней, стало 4 рабочих дня.
2. [critical/deadline] Изменены требования по срокам.
3. [critical/obligation] Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о невозможности подготовки справки при отсутствии обязательных сведений.
4. [important/procedure] Добавлен новый процедурный шаг: Справочная информация о статусе запроса доступна в локальной системе учета.","[""срок подготовки справки сокращен с 5 до 4 рабочих дней"", ""добавлена обязанность уведомления при невозможности подготовки справки""]","[""срок подготовки справки сокращен с 5 до 4 рабочих дней"", ""добавлена обязанность уведомления при невозможности подготовки справки""]",[],2,"[""Editorial wording change is incorrectly summarized as another deadline-related critical change."", ""Informational status notice is over-framed as an important procedural step.""]",2,"[""Editorial wording change receives a critical deadline highlight."", ""Informational/noise item is counted as important in the brief.""]",5,3,3,4,3,3,3.5,"Both expected critical topics are covered, but upstream over-prioritization creates extra misleading highlights.",Выявлено 4 значимых изменений. Основные темы: сроки и обязанности. Добавлено фрагментов: 2. Изменено фрагментов: 2. Без изменений: 8. Критичных изменений: 3. Важных изменений: 1.,Ключевые значимые изменения,significant,4,"[""critical"", ""critical"", ""critical"", ""important""]","[""deadline"", ""deadline"", ""obligation"", ""procedure""]","Ключевые значимые изменения
Выявлено 3 значимых изменений. Основные темы: сроки, обязанности и справочная информация. Добавлено фрагментов: 2. Изменено фрагментов: 2. Критичных изменений: 2. Информационных изменений: 1. Редакционных/технических изменений: 1.
Highlights:
1. [critical/deadline] Срок сокращён: было 5 рабочих дней, стало 4 рабочих дня.
2. [critical/obligation] Добавлена новая обязанность: Сотрудник обязан уведомить заявителя о невозможности подготовки справки при отсутствии обязательных сведений.
3. [informational/informational] Добавлена справочная или контактная информация: Справочная информация о статусе запроса доступна в локальной системе учета.","[""срок подготовки справки сокращен с 5 до 4 рабочих дней"", ""добавлена обязанность уведомления при невозможности подготовки справки""]",[],5
pair_10_weakly_structured_document,"Ключевые значимые изменения
Ключевое изменение: Срок сокращён: было 5 рабочих дней, стало 3 рабочих дней. Изменено фрагментов: 1. Без изменений: 7. Критичных изменений: 1.
Highlights:
1. [critical/deadline] Срок сокращён: было 5 рабочих дней, стало 3 рабочих дней.","[""срок рассмотрения обращения сокращен с 5 до 3 рабочих дней""]","[""срок рассмотрения обращения сокращен с 5 до 3 рабочих дней""]",[],0,[],0,[],5,5,5,4,5,5,4.8333,Weakly structured document is handled via fallback blocks and the deadline topic remains covered; wording has minor grammatical roughness.,"Ключевое изменение: Срок сокращён: было 5 рабочих дней, стало 3 рабочих дней. Изменено фрагментов: 1. Без изменений: 7. Критичных изменений: 1.",Ключевые значимые изменения,significant,1,"[""critical""]","[""deadline""]","Ключевые значимые изменения
Ключевое изменение: Срок сокращён: было 5 рабочих дней, стало 3 рабочих дней. Изменено фрагментов: 1. Критичных изменений: 1.
Highlights:
1. [critical/deadline] Срок сокращён: было 5 рабочих дней, стало 3 рабочих дней.","[""срок рассмотрения обращения сокращен с 5 до 3 рабочих дней""]",[],5
