pair_id,change_id,operation,change_type,semantic_type,predicted_semantic_type,expected_importance,predicted_importance,correct,is_important_or_critical_expected,is_important_or_critical_predicted,is_editorial_expected,is_editorial_false_positive,is_editorial_high_priority_false_positive,significance_score,requires_manual_review,expected_requires_manual_review,significance_rules,old_text,new_text,description,notes,pair_title,fragment,expected_summary_topic,expected_quiz_topic,significance_reason
pair_01_deadline_change,chg_001,modified,deadline_change,deadline,deadline,critical,critical,True,True,True,False,False,False,1.0,False,False,"change_type=deadline;entities=deadline_new,deadline_old;critical_keywords",Срок рассмотрения заявления составляет 10 рабочих дней со дня его регистрации.,Срок рассмотрения заявления составляет 7 рабочих дней со дня его регистрации.,Срок рассмотрения заявления сокращен с 10 до 7 рабочих дней.,,Изменение срока рассмотрения заявления,"Раздел 2, статья 2, пункт 1",сокращение срока рассмотрения заявления с 10 до 7 рабочих дней,новый срок рассмотрения заявления,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_new,deadline_old, critical_keywords."
pair_02_added_obligation,chg_001,added,added_obligation,obligation,obligation,critical,critical,True,True,True,False,False,False,1.0,False,False,change_type=obligation;entities=staff_action;critical_keywords,,Сотрудник обязан уведомить заявителя о результате рассмотрения обращения через локальную систему уведомлений.,Добавлена новая обязанность сотрудника уведомлять заявителя о результате рассмотрения обращения.,,Добавление обязанности уведомления заявителя,"Раздел 2, статья 2, пункт 3",новая обязанность уведомить заявителя о результате рассмотрения обращения,новая обязанность сотрудника по уведомлению заявителя,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=obligation, entities=staff_action, critical_keywords."
pair_03_document_list_change,chg_001,added,document_list_change,document,unclassified,critical,important,False,True,True,False,False,False,0.9,False,False,important_keywords,,"г) копию документа, подтверждающего полномочия представителя, если заявление подает представитель.","В перечень обязательных документов добавлена копия документа, подтверждающего полномочия представителя.",,Добавление документа в обязательный перечень,"Раздел 2, статья 2, пункт 1, подпункт г","добавлена копия документа, подтверждающего полномочия представителя",новый документ в перечне обязательных документов,"Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: important_keywords."
pair_04_refusal_ground_change,chg_001,added,refusal_ground_change,refusal,deadline,critical,critical,True,True,True,False,False,False,1.0,False,False,change_type=deadline;critical_keywords,,Основанием для отказа является непредставление обязательных документов в установленный срок.,Добавлено новое основание отказа: непредставление обязательных документов в установленный срок.,,Добавление основания для отказа,"Раздел 2, статья 3, пункт 3",новое основание отказа при непредставлении обязательных документов в установленный срок,новое основание отказа,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, critical_keywords."
pair_05_editorial_change,chg_001,modified,editorial_wording,editorial,unclassified,editorial,important,False,False,True,True,True,True,0.51,True,False,fallback_manual_review,Сотрудник осуществляет проверку документов на предмет комплектности.,Сотрудник выполняет проверку документов на предмет комплектности.,"Редакционная замена глагола без изменения обязанности, срока, перечня документов или процедуры.",,Редакционное изменение без смыслового влияния,"Раздел 2, статья 2, пункт 1",,,"Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: fallback_manual_review. Для этого изменения автоматическая оценка недостаточно уверенная, рекомендуется ручная проверка."
pair_06_procedure_change,chg_001,modified,procedure_change,procedure,unclassified,important,important,True,True,True,False,False,False,0.51,True,False,fallback_manual_review,Заявление подается заявителем на бумажном носителе через ответственное подразделение.,Заявление может быть подано на бумажном носителе через ответственное подразделение или через электронную форму во внутреннем портале.,Изменен порядок подачи заявления: добавлена возможность подачи через электронную форму во внутреннем портале.,,Изменение порядка подачи заявления,"Раздел 2, статья 2, пункт 1",добавлена возможность подачи заявления через электронную форму во внутреннем портале,новый способ подачи заявления,"Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: fallback_manual_review. Для этого изменения автоматическая оценка недостаточно уверенная, рекомендуется ручная проверка."
pair_07_responsibility_change,chg_001,added,responsibility_change,responsibility,responsibility,critical,critical,True,True,True,False,False,False,1.0,False,False,change_type=responsibility;entities=responsibility_change;critical_keywords,,За нарушение срока обработки заявления сотрудник несет ответственность в соответствии с внутренним регламентом подразделения.,Добавлено правило об ответственности сотрудника за нарушение срока обработки заявления.,,Добавление ответственности за нарушение срока,"Раздел 2, статья 3, пункт 2",ответственность за нарушение срока обработки заявления,ответственность за нарушение срока,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=responsibility, entities=responsibility_change, critical_keywords."
pair_08_reordered_structure,chg_001,moved,structure_reorder,structure,editorial,editorial,editorial,True,False,False,True,False,False,1.0,False,True,change_type=editorial;entities=editorial_change;normalized_text_equal,Контроль полноты сведений проводится до регистрации обращения.,Контроль полноты сведений проводится до регистрации обращения.,Фрагмент перенесен в другой структурный раздел без изменения содержания.,Текущий exact-text diff может не материализовать moved и считать текст unchanged либо как remove/add при иной реализации.,Перенос фрагмента без изменения текста,"Из Раздел 2, статья 2, пункт 2 в Раздел 3, статья 3, пункт 1",,,"Изменение похоже на редакционное или структурное и не меняет смысл по существу. Сработали правила: change_type=editorial, entities=editorial_change, normalized_text_equal."
pair_09_mixed_significant_and_editorial,chg_001,modified,deadline_change,deadline,deadline,critical,critical,True,True,True,False,False,False,1.0,False,False,"change_type=deadline;entities=deadline_new,deadline_old;critical_keywords",Срок подготовки справки составляет 5 рабочих дней со дня регистрации запроса.,Срок подготовки справки составляет 4 рабочих дня со дня регистрации запроса.,Срок подготовки справки сокращен с 5 до 4 рабочих дней.,,"Смешанные значимые, информационные и редакционные изменения","Раздел 2, статья 2, пункт 1",сокращение срока подготовки справки,новый срок подготовки справки,"Изменение затрагивает ключевые условия применения документа, обязанности, сроки или основания отказа. Сработали правила: change_type=deadline, entities=deadline_new,deadline_old, critical_keywords."
pair_09_mixed_significant_and_editorial,chg_002,modified,editorial_wording,editorial,unclassified,editorial,important,False,False,True,True,True,True,0.51,True,False,fallback_manual_review,Сотрудник осуществляет проверку сведений по внутренним источникам.,Сотрудник выполняет проверку сведений по внутренним источникам.,Редакционная замена глагола без изменения процедуры проверки.,,"Смешанные значимые, информационные и редакционные изменения","Раздел 2, статья 2, пункт 2",,,"Изменение влияет на порядок работы или условия взаимодействия, но не относится к наиболее критичным. Сработали правила: fallback_manual_review. Для этого изменения автоматическая оценка недостаточно уверенная, рекомендуется ручная проверка."
