pair_id,pair_scenario,method,raw_expected_changes,expected_changes,editorial_expected_changes,predicted_changes,tp,fp,fn,precision,recall,f1,noise_count,noise_ratio,editorial_noise_count,raw_tp,raw_fp,raw_fn,known_difficulties,chunking_dependency_note,notes
pair_01_deadline_change,Изменение срока рассмотрения заявления,plain_text_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,,ok
pair_01_deadline_change,Изменение срока рассмотрения заявления,paragraph_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,,ok
pair_01_deadline_change,Изменение срока рассмотрения заявления,structural_chunk_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,Depends on hybrid structural chunks produced by Phase 14 method.,ok
pair_02_added_obligation,Добавление обязанности уведомления заявителя,plain_text_diff,1,1,0,2,1,1,0,0.5,1.0,0.6667,1,0.5,0,1,1,0,,,strict FP/noise present
pair_02_added_obligation,Добавление обязанности уведомления заявителя,paragraph_diff,1,1,0,1,0,1,1,0.0,0.0,0.0,1,1.0,0,0,1,1,,,meaningful FN present; strict FP/noise present
pair_02_added_obligation,Добавление обязанности уведомления заявителя,structural_chunk_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,Depends on hybrid structural chunks produced by Phase 14 method.,ok
pair_03_document_list_change,Добавление документа в обязательный перечень,plain_text_diff,1,1,0,2,1,1,0,0.5,1.0,0.6667,1,0.5,0,1,1,0,"Добавление подпункта может быть обнаружено как изменение родительского пункта, если comparison работает на уровне более крупного chunk.","Добавление подпункта может быть обнаружено как изменение родительского пункта, если comparison работает на уровне более крупного chunk.",strict FP/noise present; known difficulty
pair_03_document_list_change,Добавление документа в обязательный перечень,paragraph_diff,1,1,0,1,0,1,1,0.0,0.0,0.0,1,1.0,0,0,1,1,"Добавление подпункта может быть обнаружено как изменение родительского пункта, если comparison работает на уровне более крупного chunk.","Добавление подпункта может быть обнаружено как изменение родительского пункта, если comparison работает на уровне более крупного chunk.",meaningful FN present; strict FP/noise present; known difficulty
pair_03_document_list_change,Добавление документа в обязательный перечень,structural_chunk_diff,1,1,0,2,1,1,0,0.5,1.0,0.6667,1,0.5,0,1,1,0,"Добавление подпункта может быть обнаружено как изменение родительского пункта, если comparison работает на уровне более крупного chunk.",Depends on subpoint chunk boundary; Phase 14 hybrid found this key boundary.,strict FP/noise present; known difficulty
pair_04_refusal_ground_change,Добавление основания для отказа,plain_text_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,,ok
pair_04_refusal_ground_change,Добавление основания для отказа,paragraph_diff,1,1,0,1,0,1,1,0.0,0.0,0.0,1,1.0,0,0,1,1,,,meaningful FN present; strict FP/noise present
pair_04_refusal_ground_change,Добавление основания для отказа,structural_chunk_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,Depends on hybrid structural chunks produced by Phase 14 method.,ok
pair_05_editorial_change,Редакционное изменение без смыслового влияния,plain_text_diff,1,0,1,1,0,1,0,0.0,0.0,0.0,1,1.0,1,1,0,0,"Pipeline может найти modified chunk, но significance и quiz должны трактовать изменение как editorial-only.","Pipeline может найти modified chunk, но significance и quiz должны трактовать изменение как editorial-only.",editorial noise detected; strict FP/noise present; known difficulty
pair_05_editorial_change,Редакционное изменение без смыслового влияния,paragraph_diff,1,0,1,1,0,1,0,0.0,0.0,0.0,1,1.0,1,1,0,0,"Pipeline может найти modified chunk, но significance и quiz должны трактовать изменение как editorial-only.","Pipeline может найти modified chunk, но significance и quiz должны трактовать изменение как editorial-only.",editorial noise detected; strict FP/noise present; known difficulty
pair_05_editorial_change,Редакционное изменение без смыслового влияния,structural_chunk_diff,1,0,1,1,0,1,0,0.0,0.0,0.0,1,1.0,1,1,0,0,"Pipeline может найти modified chunk, но significance и quiz должны трактовать изменение как editorial-only.",Depends on hybrid structural chunks produced by Phase 14 method.,editorial noise detected; strict FP/noise present; known difficulty
pair_06_procedure_change,Изменение порядка подачи заявления,plain_text_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,,ok
pair_06_procedure_change,Изменение порядка подачи заявления,paragraph_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,,ok
pair_06_procedure_change,Изменение порядка подачи заявления,structural_chunk_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,Depends on hybrid structural chunks produced by Phase 14 method.,ok
pair_07_responsibility_change,Добавление ответственности за нарушение срока,plain_text_diff,1,1,0,2,1,1,0,0.5,1.0,0.6667,1,0.5,0,1,1,0,,,strict FP/noise present
pair_07_responsibility_change,Добавление ответственности за нарушение срока,paragraph_diff,1,1,0,1,0,1,1,0.0,0.0,0.0,1,1.0,0,0,1,1,,,meaningful FN present; strict FP/noise present
pair_07_responsibility_change,Добавление ответственности за нарушение срока,structural_chunk_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,,Depends on hybrid structural chunks produced by Phase 14 method.,ok
pair_08_reordered_structure,Перенос фрагмента без изменения текста,plain_text_diff,1,0,1,5,0,5,0,0.0,0.0,0.0,5,1.0,2,1,4,0,Moved detection отсутствует или ограничена в текущем MVP; annotation фиксирует conceptual gold standard и baseline limitation.,Moved detection отсутствует или ограничена в текущем MVP; annotation фиксирует conceptual gold standard и baseline limitation.,editorial noise detected; strict FP/noise present; known difficulty
pair_08_reordered_structure,Перенос фрагмента без изменения текста,paragraph_diff,1,0,1,2,0,2,0,0.0,0.0,0.0,2,1.0,2,1,1,0,Moved detection отсутствует или ограничена в текущем MVP; annotation фиксирует conceptual gold standard и baseline limitation.,Moved detection отсутствует или ограничена в текущем MVP; annotation фиксирует conceptual gold standard и baseline limitation.,editorial noise detected; strict FP/noise present; known difficulty
pair_08_reordered_structure,Перенос фрагмента без изменения текста,structural_chunk_diff,1,0,1,0,0,0,0,0.0,0.0,0.0,0,0.0,0,0,0,1,Moved detection отсутствует или ограничена в текущем MVP; annotation фиксирует conceptual gold standard и baseline limitation.,Production MVP treats exact-text relocation as unchanged; moved is diagnostic limitation.,raw expected FN is editorial/diagnostic only; known difficulty
pair_09_mixed_significant_and_editorial,"Смешанные значимые, информационные и редакционные изменения",plain_text_diff,4,3,1,4,3,1,0,0.75,1.0,0.8571,1,0.25,1,4,0,0,"Summary должен фокусироваться на critical changes, а quiz не должен строиться по редакционной замене.","Summary должен фокусироваться на critical changes, а quiz не должен строиться по редакционной замене.",editorial noise detected; strict FP/noise present; known difficulty
pair_09_mixed_significant_and_editorial,"Смешанные значимые, информационные и редакционные изменения",paragraph_diff,4,3,1,2,1,1,2,0.5,0.3333,0.4,1,0.5,1,1,1,3,"Summary должен фокусироваться на critical changes, а quiz не должен строиться по редакционной замене.","Summary должен фокусироваться на critical changes, а quiz не должен строиться по редакционной замене.",editorial noise detected; meaningful FN present; strict FP/noise present; known difficulty
pair_09_mixed_significant_and_editorial,"Смешанные значимые, информационные и редакционные изменения",structural_chunk_diff,4,3,1,4,3,1,0,0.75,1.0,0.8571,1,0.25,1,4,0,0,"Summary должен фокусироваться на critical changes, а quiz не должен строиться по редакционной замене.",Depends on hybrid structural chunks produced by Phase 14 method.,editorial noise detected; strict FP/noise present; known difficulty
pair_10_weakly_structured_document,Слабо структурированный документ для fallback chunking,plain_text_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,"Документ специально не содержит явных markers Раздел/Статья/Пункт; expected_chunks должны оцениваться как fallback blocks.; Comparison может быть менее точным, потому что changed deadline находится внутри более крупного fallback-блока.","Документ специально не содержит явных markers Раздел/Статья/Пункт; expected_chunks должны оцениваться как fallback blocks.; Comparison может быть менее точным, потому что changed deadline находится внутри более крупного fallback-блока.",known difficulty
pair_10_weakly_structured_document,Слабо структурированный документ для fallback chunking,paragraph_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,"Документ специально не содержит явных markers Раздел/Статья/Пункт; expected_chunks должны оцениваться как fallback blocks.; Comparison может быть менее точным, потому что changed deadline находится внутри более крупного fallback-блока.","Документ специально не содержит явных markers Раздел/Статья/Пункт; expected_chunks должны оцениваться как fallback blocks.; Comparison может быть менее точным, потому что changed deadline находится внутри более крупного fallback-блока.",known difficulty
pair_10_weakly_structured_document,Слабо структурированный документ для fallback chunking,structural_chunk_diff,1,1,0,1,1,0,0,1.0,1.0,1.0,0,0.0,0,1,0,0,"Документ специально не содержит явных markers Раздел/Статья/Пункт; expected_chunks должны оцениваться как fallback blocks.; Comparison может быть менее точным, потому что changed deadline находится внутри более крупного fallback-блока.",Uses fallback-block chunks; comparison granularity is coarser than point-level chunks.,known difficulty
