model,class_label,rank,feature_name,feature_type,coefficient
ml_text_model,critical,1,meta:has_deadline_words,meta,1.574754
ml_text_model,critical,2,meta:change_type_deadline,meta,1.334612
ml_text_model,critical,3,meta:has_number,meta,0.812048
ml_text_model,critical,4,meta:has_modal_obligation_words,meta,0.784011
ml_text_model,critical,5,meta:has_refusal_words,meta,0.612922
ml_text_model,critical,6,meta:change_type_refusal,meta,0.459819
ml_text_model,critical,7,tfidf:добавлена,tfidf,0.350853
ml_text_model,critical,8,tfidf:ответственность,tfidf,0.324043
ml_text_model,critical,9,meta:semantic_deadline,meta,0.306478
ml_text_model,critical,10,meta:op_added,meta,0.300064
ml_text_model,editorial,1,meta:op_moved,meta,0.594664
ml_text_model,editorial,2,tfidf:terminology_change,tfidf,0.318152
ml_text_model,editorial,3,meta:has_document_words,meta,0.313296
ml_text_model,editorial,4,meta:old_length,meta,0.266034
ml_text_model,editorial,5,tfidf:замена,tfidf,0.248593
ml_text_model,editorial,6,meta:semantic_editorial,meta,0.238556
ml_text_model,editorial,7,tfidf:без,tfidf,0.192196
ml_text_model,editorial,8,tfidf:terminology_change terminology_change,tfidf,0.187905
ml_text_model,editorial,9,meta:has_legal_reference,meta,0.181575
ml_text_model,editorial,10,tfidf:изменения,tfidf,0.134889
ml_text_model,important,1,meta:has_document_words,meta,0.703405
ml_text_model,important,2,tfidf:изменен,tfidf,0.564211
ml_text_model,important,3,tfidf:document_list_change,tfidf,0.528351
ml_text_model,important,4,tfidf:payment_or_fee_change,tfidf,0.467973
ml_text_model,important,5,meta:requires_manual_review_flag,meta,0.432186
ml_text_model,important,6,tfidf:eligibility_change,tfidf,0.388435
ml_text_model,important,7,meta:has_procedure_words,meta,0.382192
ml_text_model,important,8,tfidf:document_list_change document_list_change,tfidf,0.312053
ml_text_model,important,9,tfidf:уведомления,tfidf,0.282805
ml_text_model,important,10,tfidf:payment_or_fee_change payment_or_fee_change,tfidf,0.276392
ml_text_model,informational,1,meta:has_editorial_words,meta,0.688841
ml_text_model,informational,2,meta:requires_manual_review_flag,meta,0.65304
ml_text_model,informational,3,meta:op_modified,meta,0.650613
ml_text_model,informational,4,tfidf:добавлен,tfidf,0.442625
ml_text_model,informational,5,meta:has_date_like_pattern,meta,0.430138
ml_text_model,informational,6,tfidf:contact_or_channel_change,tfidf,0.407762
ml_text_model,informational,7,tfidf:clarification_change,tfidf,0.374755
ml_text_model,informational,8,meta:relative_length_delta,meta,0.34659
ml_text_model,informational,9,meta:new_length,meta,0.322132
ml_text_model,informational,10,meta:has_legal_reference,meta,0.318593
